model_name,model_type,metric,mean,std_dev
AC-12.keras,Plain Model,balanced_accuracy,0.7399522565044498,0.013745318086071144
AC-12.keras,Plain Model,disparate_impact,0.30796716728971807,0.028809945745387935
AC-12.keras,Plain Model,equal_opportunity_difference,-0.08132167687753837,0.02874512797964967
AC-12.keras,Plain Model,average_odds_difference,-0.07523818078948626,0.020467598213131592
AC-12.keras,Plain Model,precision,0.8016845210485888,0.0067064764681072555
AC-12.keras,Plain Model,recall,0.7399522565044498,0.013745318086071144
AC-12.keras,Plain Model,f1,0.761792642006872,0.008590698673379044
AC-12.keras,Debiased Model,classification_accuracy,0.8474869485105947,0.0016741858452266121
AC-12.keras,Debiased Model,balanced_accuracy,0.7452880531868038,0.0075275788600508925
AC-12.keras,Debiased Model,disparate_impact,0.38419214537657365,0.04852293293056343
AC-12.keras,Debiased Model,equal_opportunity_difference,-0.0045336270393060984,0.04199893405688808
AC-12.keras,Debiased Model,average_odds_difference,-0.02789047089834083,0.026180161374132926
AC-12.keras,Debiased Model,precision,0.8102529924887072,0.004044466592122425
AC-12.keras,Debiased Model,recall,0.7452880531868038,0.0075275788600508925
AC-12.keras,Debiased Model,f1,0.7687335492675939,0.005188959932004631
AC-1.keras,Plain Model,classification_accuracy,0.8417033473231651,0.0019233656147500014
AC-1.keras,Plain Model,balanced_accuracy,0.7353205389241791,0.01562991422633445
AC-1.keras,Plain Model,disparate_impact,0.24471862751056644,0.01238379464958366
AC-1.keras,Plain Model,equal_opportunity_difference,-0.15015213051559162,0.010085602686486676
AC-1.keras,Plain Model,average_odds_difference,-0.11324288900463657,0.008908120283507197
AC-1.keras,Plain Model,precision,0.8027299772598981,0.007501599042294274
AC-1.keras,Plain Model,recall,0.7353205389241791,0.01562991422633445
AC-1.keras,Plain Model,f1,0.7583246830889503,0.01063984661285707
AC-1.keras,Debiased Model,classification_accuracy,0.8468011055379261,0.0011798161149942676
AC-1.keras,Debiased Model,balanced_accuracy,0.7543834181845673,0.0089165748767424
AC-1.keras,Debiased Model,disparate_impact,0.39300930354017616,0.017492311850370694
AC-1.keras,Debiased Model,equal_opportunity_difference,-0.005875266744682295,0.017641973419203875
AC-1.keras,Debiased Model,average_odds_difference,-0.03122946778038513,0.012394947859639311
AC-1.keras,Debiased Model,precision,0.8030678137135011,0.003743103338742905
AC-1.keras,Debiased Model,recall,0.7543834181845673,0.0089165748767424
AC-1.keras,Debiased Model,f1,0.77326323179858,0.005347191438134244
AC-11.keras,Plain Model,classification_accuracy,0.8378646739686765,0.0025882060374873487
AC-11.keras,Plain Model,balanced_accuracy,0.7380939371602585,0.019270064815521428
AC-11.keras,Plain Model,disparate_impact,0.30652289879399686,0.029302565291880803
AC-11.keras,Plain Model,equal_opportunity_difference,-0.09494527431678945,0.028286707833382666
AC-11.keras,Plain Model,average_odds_difference,-0.0846342398302303,0.019059070393268897
AC-11.keras,Plain Model,precision,0.7925776859664134,0.01067905534136058
AC-11.keras,Plain Model,recall,0.7380939371602585,0.019270064815521428
AC-11.keras,Plain Model,f1,0.7570219019875019,0.013132589349998287
AC-11.keras,Debiased Model,classification_accuracy,0.8448561777049852,0.0011326912636808691
AC-11.keras,Debiased Model,balanced_accuracy,0.7444675534952236,0.008740950797162689
AC-11.keras,Debiased Model,disparate_impact,0.3960998544253419,0.05669646033000219
AC-11.keras,Debiased Model,equal_opportunity_difference,0.004621050457768322,0.05347731729431571
AC-11.keras,Debiased Model,average_odds_difference,-0.024103196337916945,0.03255996468162893
AC-11.keras,Debiased Model,precision,0.8040598170884253,0.004081253843468166
AC-11.keras,Debiased Model,recall,0.7444675534952236,0.008740950797162689
AC-11.keras,Debiased Model,f1,0.7663138933134903,0.005508300559083365
